ticker,name,year,revenue,operating_profit,operating_margin,net_income,roe,roa,eps,bps,per,pbr
856086,마마하글로벌,2020,3184.1,559.1,17.56,327.1,8.15,5.91,42451.0,153480.0,,
856086,마마하글로벌,2021,3099.8,483.8,15.61,353.0,8.34,4.45,12022.0,166193.0,,
856086,마마하글로벌,2022,3170.2,402.6,12.7,205.5,4.47,2.4,17587.0,483464.0,,
856086,마마하글로벌,2023,3298.7,206.7,6.27,131.4,4.95,2.61,6860.0,176641.0,,
856086,마마하글로벌,2024,3062.5,235.5,7.69,120.6,2.98,2.17,7784.0,299460.0,,1.72
189083,자자차코퍼레이션,2020,1644.3,77.9,4.74,47.4,2.28,1.44,2954.0,175611.0,,
189083,자자차코퍼레이션,2021,1810.4,57.8,3.19,38.8,2.15,1.23,2262.0,83366.0,,
189083,자자차코퍼레이션,2022,1736.3,67.7,3.9,50.1,3.58,2.48,4871.0,165863.0,,
189083,자자차코퍼레이션,2023,1738.2,46.5,2.67,23.4,1.02,0.76,1612.0,101784.0,,
189083,자자차코퍼레이션,2024,1825.2,183.8,10.07,151.2,9.74,5.15,24956.0,283850.0,23.5,2.17
403578,파자다시스템즈,2020,3871.8,374.4,9.67,256.1,5.16,3.46,16090.0,649503.0,,
403578,파자다시스템즈,2021,4015.6,372.3,9.27,197.9,3.5,1.95,18776.0,231206.0,,
403578,파자다시스템즈,2022,3876.2,416.2,10.74,296.4,8.17,4.49,21513.0,125262.0,,
403578,파자다시스템즈,2023,4182.7,227.7,5.44,123.2,3.01,2.25,13964.0,170802.0,,
403578,파자다시스템즈,2024,4036.6,681.8,16.89,512.2,11.28,6.83,26283.0,206110.0,22.8,2.07
591699,차가자엔터테인먼트,2020,12012.3,1542.3,12.84,816.9,6.05,4.92,57455.0,1108038.0,,
591699,차가자엔터테인먼트,2021,12960.5,1911.5,14.75,1024.8,6.5,4.31,52532.0,546099.0,,
591699,차가자엔터테인먼트,2022,14227.8,1304.3,9.17,1126.5,6.6,4.88,55973.0,973851.0,,
591699,차가자엔터테인먼트,2023,16241.7,1988.9,12.25,1639.6,7.28,3.67,230666.0,1064317.0,,
591699,차가자엔터테인먼트,2024,15556.8,2514.2,16.16,2253.7,12.42,7.36,159866.0,649496.0,13.4,2.05
169113,차파글로벌,2020,1374.5,73.2,5.32,55.8,2.83,1.49,4185.0,100753.0,,
169113,차파글로벌,2021,1344.6,63.5,4.72,56.3,3.25,2.15,2834.0,60918.0,,
169113,차파글로벌,2022,1360.6,59.0,4.34,48.2,2.59,1.49,1873.0,79382.0,,
169113,차파글로벌,2023,1479.1,83.4,5.64,63.3,3.9,2.62,4498.0,170587.0,,
169113,차파글로벌,2024,1468.5,183.4,12.49,127.3,9.05,6.91,18378.0,53913.0,7.9,2.63
117233,가다타테크,2020,4898.5,549.4,11.22,409.8,8.64,5.63,18964.0,664354.0,,
117233,가다타테크,2021,6098.3,722.7,11.85,513.4,7.29,3.66,27232.0,477218.0,,
117233,가다타테크,2022,6976.7,1029.6,14.76,918.8,13.47,11.11,37181.0,500738.0,,
117233,가다타테크,2023,8348.2,1376.2,16.48,1112.8,10.14,6.92,182173.0,588450.0,,
117233,가다타테크,2024,10123.9,1479.7,14.62,1201.0,10.54,6.0,57759.0,450491.0,9.7,3.0
178686,사파이노베이션,2020,3675.9,475.1,12.93,418.6,12.65,7.51,17064.0,563562.0,,
178686,사파이노베이션,2021,3357.7,370.7,11.04,239.6,6.68,4.04,11907.0,163176.0,,
178686,사파이노베이션,2022,3659.1,215.9,5.9,173.9,3.95,2.44,11630.0,207040.0,,
178686,사파이노베이션,2023,3475.9,-24.8,-0.71,-19.7,-0.49,-0.33,-1034.0,346050.0,,
178686,사파이노베이션,2024,3309.2,2.2,0.07,1.9,0.06,0.03,113.0,410234.0,,1.92
192055,카나파트너스,2020,1154.9,156.5,13.55,82.3,6.04,3.16,3131.0,59760.0,,
192055,카나파트너스,2021,1426.9,218.6,15.32,178.7,10.83,8.35,17829.0,194717.0,,
192055,카나파트너스,2022,1723.7,252.6,14.65,182.3,9.99,5.42,9699.0,89865.0,,
192055,카나파트너스,2023,1839.7,311.0,16.9,279.8,11.67,7.2,11548.0,93711.0,,
192055,카나파트너스,2024,1958.8,456.9,23.33,345.8,15.84,9.08,25406.0,81042.0,29.1,2.15
843167,하사바바이오,2020,233.6,19.1,8.2,17.1,6.05,3.29,738.0,12715.0,,
843167,하사바바이오,2021,223.1,18.1,8.1,16.0,5.33,2.92,824.0,13058.0,,
843167,하사바바이오,2022,238.0,13.2,5.56,9.9,3.39,1.81,1144.0,13338.0,,
843167,하사바바이오,2023,227.6,30.9,13.58,16.8,9.08,6.26,1913.0,8315.0,,
843167,하사바바이오,2024,234.9,29.6,12.6,25.7,7.75,4.33,3918.0,39218.0,9.9,1.11
581992,나자자솔루션,2020,999.2,114.6,11.46,88.5,6.5,4.6,5172.0,47057.0,,
581992,나자자솔루션,2021,1005.0,107.1,10.66,93.9,6.28,3.46,4151.0,67176.0,,
581992,나자자솔루션,2022,1053.1,119.0,11.3,86.2,5.63,3.17,7068.0,79192.0,,
581992,나자자솔루션,2023,1114.8,180.7,16.21,118.9,10.24,5.63,13726.0,191881.0,,
581992,나자자솔루션,2024,1272.1,60.1,4.73,52.3,3.27,1.82,5054.0,62329.0,11.2,2.97
153231,파마이노베이션,2020,534.4,89.1,16.67,56.3,9.32,5.34,6676.0,20755.0,,
153231,파마이노베이션,2021,612.2,93.7,15.3,71.3,8.22,5.2,3354.0,36287.0,,
153231,파마이노베이션,2022,616.8,92.2,14.96,48.3,5.85,3.4,4470.0,35169.0,,
153231,파마이노베이션,2023,690.8,76.8,11.12,66.7,8.84,4.73,2354.0,127738.0,,
153231,파마이노베이션,2024,771.8,164.2,21.28,94.4,9.23,4.86,7711.0,172171.0,11.7,2.77
772464,차자하엔터테인먼트,2020,2300.9,260.9,11.34,158.9,5.06,3.45,6828.0,148226.0,,
772464,차자하엔터테인먼트,2021,2236.9,187.5,8.38,119.0,5.29,3.04,12111.0,111052.0,,
772464,차자하엔터테인먼트,2022,2144.2,166.7,7.77,111.9,5.07,3.33,15147.0,74727.0,,
772464,차자하엔터테인먼트,2023,1996.6,214.9,10.76,108.0,5.06,3.25,9254.0,161125.0,,
772464,차자하엔터테인먼트,2024,1894.8,117.8,6.21,71.2,3.57,2.57,3282.0,119795.0,5.8,0.54
744481,바타솔루션,2020,532.7,37.7,7.07,27.9,4.81,2.93,1667.0,31526.0,,
744481,바타솔루션,2021,513.0,24.2,4.72,14.5,2.13,1.12,2059.0,42142.0,,
744481,바타솔루션,2022,497.4,7.6,1.54,5.5,1.32,0.81,314.0,21712.0,,
744481,바타솔루션,2023,435.5,4.4,1.02,3.1,0.82,0.6,161.0,52767.0,,
744481,바타솔루션,2024,407.9,19.5,4.77,13.3,2.8,1.79,2059.0,28557.0,12.9,2.28
706403,다파카테크,2020,319.7,14.8,4.63,12.9,4.77,2.45,2234.0,17815.0,,
706403,다파카테크,2021,352.8,20.1,5.7,17.9,4.06,2.64,601.0,30339.0,,
706403,다파카테크,2022,396.6,31.3,7.89,20.3,4.01,2.32,1101.0,23750.0,,
706403,다파카테크,2023,404.3,3.1,0.78,2.2,0.47,0.27,212.0,93012.0,,
706403,다파카테크,2024,385.9,5.4,1.41,4.2,0.92,0.56,163.0,40745.0,12.6,1.85
948799,타마바바이오,2020,11301.9,1115.4,9.87,649.7,6.6,5.38,32573.0,435731.0,,
948799,타마바바이오,2021,10281.7,805.2,7.83,532.2,5.37,3.91,20012.0,1546067.0,,
948799,타마바바이오,2022,10289.8,224.7,2.18,185.7,1.38,0.95,9307.0,618925.0,,
948799,타마바바이오,2023,9920.7,-149.7,-1.51,-83.5,-0.67,-0.48,-6670.0,1919299.0,,
948799,타마바바이오,2024,10810.6,426.5,3.94,368.7,2.75,1.79,21203.0,456735.0,,1.11
414455,바라엔터테인먼트,2020,1376.4,90.5,6.57,76.3,6.15,3.92,11845.0,80972.0,,
414455,바라엔터테인먼트,2021,1422.3,95.2,6.69,62.4,4.48,3.06,8944.0,85671.0,,
414455,바라엔터테인먼트,2022,1456.7,99.9,6.86,83.1,6.82,4.54,4130.0,203372.0,,
414455,바라엔터테인먼트,2023,1405.1,143.7,10.23,105.7,5.92,4.31,10336.0,64478.0,,
414455,바라엔터테인먼트,2024,1420.0,186.3,13.12,108.9,8.22,4.58,4601.0,55533.0,23.4,1.23
913185,아타시스템즈,2020,2199.6,205.2,9.33,144.7,5.73,4.48,4899.0,150879.0,,
913185,아타시스템즈,2021,2679.0,312.3,11.66,202.5,6.94,4.2,19224.0,337577.0,,
913185,아타시스템즈,2022,2952.6,415.4,14.07,303.9,9.42,7.13,22943.0,222486.0,,
913185,아타시스템즈,2023,3592.4,496.6,13.83,378.4,8.23,5.86,14815.0,157600.0,,
913185,아타시스템즈,2024,4233.0,645.7,15.25,366.3,6.38,4.78,15921.0,333686.0,32.8,1.96
